Quantity,Designator,Description,Comment,LibRef

"14","C1, C4, C5, C23, C32, C35, C37, C43, C47, C50, C52, C58, C61, C65","CAP CER 2.2UF 16V X5R 0603","2.2µF","GRM188R61C225KE15D"
"2","C2, C3","CAP CER 10PF 50V NP0 0603","10pF","GRM1885C1H100JA01D"
"18","C6, C7, C8, C9, C10, C22, C25, C28, C30, C31, C34, C41, C45, C46, C49, C56, C59, C63","CAP CER 0.1UF 25V X7R 0603","0.10µF","GRM188R71E104KA01D"
"8","C11, C12, C13, C14, C15, C16, C17, C18","CAP, FP Series, 470 µF, 25 V, Radial Can - SMD, 10 mm","470uF","EEEFP1E471AP"
"7","C19, C20, C21, C26, C40, C44, C55","CAP CER 4.7UF 35V X5R 0805","4.7uF","GRM219R6YA475KA73D"
"1","C24","CAP CER 82PF 100V NP0 0603","82pF","GRM1885C2A820JA01D"
"1","C27","CAP CER 270PF 50V NP0 0603","270pF","GRM1885C1H271JA01D"
"1","C29","CAP TANT 68UF 16V 20% 2312 250mOhm","68uF","T495C686M016ATE250"
"2","C33, C48","CAP CER 0.022UF 25V X7R 0603","0.022µF","GRM188R71E223KA01D"
"10","C36, C38, C39, C42, C51, C53, C54, C57, C62, C64","CAP CER 2200PF 50V NP0 0603","2200pF","GRM1885C1H222JA01D"
"2","D1, D2","Rectifier Diode, Single, 40 V, 1 A, SOD-123FL, 2, 550 mV","","MBR140SFT1G"
"4","FID1, FID2, FID3, FID4","1mm Fiducial with 2mm soldermask, 3mm keepout","FIDUCIAL","FIDUCIAL"
"12","H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12","M3 Hole with no copper","","M3 Hole"
"1","J1","MICRO USB B, RECEPTACLE, SMT, RA, 5WAY","","10103594-0001LF"
"1","J2","Header, 5-Pin","","Header 5"
"1","J3","Header, 18-Pin","Leftheader","Header 18"
"1","J4","Header, 12-Pin","Rightheader","Header 12"
"10","J7, J8, J11, J12, J13, J16, J17, J18, J21, J22","M3 Spade Terminal","","M3 Spade Terminal"
"2","J9, J23","CONN TERM BLOCK 2POS 7.62MM","1868076","1868076"
"2","J14, J19","CONN TERM BLOCK 3POS 7.62MM","1704936","1704936"
"1","L2","INDUCTOR 22UH 1.4A 175.5 MOHM","22uH","NR6028T220M"
"1","LED1","LED GREEN CLEAR 0603 SMD","Green","LTST-C190KGKT"
"28","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28","MOSFET N-CH 30V 13A SO8FL","","NTMFS4935NT1G"
"8","R1, R2, R3, R4, R26, R29, R44, R47","RES SMD 22 OHM 1% 1/10W 0603","22R","RC0603FR-0722RL"
"7","R5, R25, R30, R43, R48, R55, R57","RES SMD 120 OHM 1% 1/10W 0603","120R","RC0603FR-07120RL"
"1","R6","RES SMD 10K OHM 1% 1/10W 0603","10K","RC0603FR-0710KL"
"2","R7, R58","RES SMD 1K OHM 1% 1/10W 0603","1k","RC0603FR-071KL"
"2","R8, R14","RES SMD 47K OHM 1% 1/10W 0603","47K","RC0603FR-0747KL"
"10","R9, R10, R11, R13, R20, R32, R33, R34, R35, R50","RES SMD 3.3K OHM 1% 1/10W 0603","3.3k","RC0603FR-073K3L"
"3","R12, R31, R49","THERMISTOR 10K OHM NTC 0402 SMD","10k","NCP15XH103F03RC"
"1","R15","RES SMD 220K OHM 1% 1/10W 0603","220k","RC0603FR-07220KL"
"3","R16, R21, R39","RES SMD 18K OHM 1% 1/10W 0603","18k","RC0603FR-0718KL"
"14","R17, R18, R19, R22, R23, R24, R36, R37, R38, R40, R41, R42, R51, R54","RES SMD 2.2 OHM 1% 1/10W 0603","2.2R","RC0603FR-072R2L"
"5","R27, R28, R45, R46, R56","RES SMD 0.0005 OHM 1% 3W 2512","500uOhm","CSR2512C0R0005F"
"1","U1","3.3-V CAN Bus Transceiver","","SN65HVD232D"
"1","U2","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC, Tray","","STM32F405RGT6"
"1","U3","IC REG LDO 3.3V 1A SOT223","3.3V","AZ1117EH-3.3TRG1"
"2","U4, U5","MOTOR DRIVER, 3PH, 56HTSSOP","","DRV8301"
"1","U6","DRIVER, MOSFET, HALF BRIDGE, WSON-8, 1A","","LM5109BSD/NOPB"
"1","U7","ANALOG DEVICES Current Sense Amplifier, Bidirectional, 1, 130 µA, NSOIC","","AD8418WBRZ"
"1","U8","IC REG LDO 3.3V 0.25A SOT23-5","3.3V","LP5907MFX-3.3/NOPB"
"1","XT1","Crystal 8MHz ±10ppm 10pF 200 Ohm -10°C ~ 60°C Surface Mount 4-SMD, No Lead (DFN, LCC)","8 MHz","ABM3B-8.000MHZ-10-1-U-T"
